quote_id,scrape_timestamp,data_type,source_name,origin,destination,route,route_weight,travel_date,advance_purchase_days,booking_window,airline,flight_number,departure_time,arrival_time,duration_minutes,stops,fare_class,base_fare_inr,taxes_inr,user_development_fee_inr,convenience_fee_inr,total_fare_inr,currency,availability,status,outlier_flag,duplicate_flag,missing_value_flag,exclusion_flag,collection_method,notes
APIX-000014,2026-08-16 23:37:00,synthetic_prototype,Prototype_OTA_Feed_B,MAA,DEL,MAA-DEL,0.14,2026-08-31,15,T+15,IndiGo,6E-5258,20:35,23:46,191,1,Economy,15000,2922.69,0,199.0,18121.69,INR,61,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000015,2026-07-12 02:28:00,synthetic_prototype,Prototype_OTA_Feed_A,DEL,CCU,DEL-CCU,0.14,2026-07-27,15,T+15,Air India,AI-971,05:05,08:08,183,0,Economy,15000,2881.28,200,99.0,18180.28,INR,42,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000016,2026-09-08 14:41:00,synthetic_prototype,Prototype_OTA_Feed_B,DEL,BLR,DEL-BLR,0.19,2026-09-23,15,T+15,IndiGo,6E-7318,14:50,17:57,187,1,Economy,15000,2022.25,0,199.0,17221.25,INR,52,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000017,2026-07-06 23:31:00,synthetic_prototype,Prototype_OTA_Feed_A,DEL,BOM,DEL-BOM,0.24,2026-07-07,1,T+1,Akasa Air,QP-4091,06:25,08:30,125,0,Economy,15000,2154.22,0,149.0,17303.22,INR,31,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000018,2026-08-29 08:14:00,synthetic_prototype,Prototype_OTA_Feed_A,BOM,BLR,BOM-BLR,0.17,2026-09-05,7,T+7,IndiGo,6E-7048,07:10,10:25,195,0,Economy,15000,1887.67,150,199.0,17236.67,INR,40,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000019,2026-08-16 21:12:00,synthetic_prototype,Prototype_OTA_Feed_A,BOM,BLR,BOM-BLR,0.17,2026-09-15,30,T+30,Akasa Air,QP-4963,09:35,12:17,162,0,Economy,15000,2113.69,100,149.0,17362.69,INR,70,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000020,2026-07-04 10:02:00,synthetic_prototype,Prototype_OTA_Feed_A,MAA,DEL,MAA-DEL,0.14,2026-07-05,1,T+1,SpiceJet,SG-7279,18:15,21:25,190,0,Economy,15000,2105.9,0,0.0,17105.9,INR,23,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000021,2026-07-02 05:24:00,synthetic_prototype,Prototype_OTA_Feed_A,DEL,CCU,DEL-CCU,0.14,2026-07-09,7,T+7,Air India Express,IX-2728,19:10,21:36,146,0,Economy,15000,2851.41,0,199.0,18050.41,INR,73,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000022,2026-07-26 19:41:00,synthetic_prototype,Prototype_OTA_Feed_A,MAA,DEL,MAA-DEL,0.14,2026-08-10,15,T+15,Air India,AI-5881,11:15,14:39,204,0,Economy,15000,1949.07,0,0.0,16949.07,INR,28,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000023,2026-08-21 18:28:00,synthetic_prototype,Prototype_Airline_Feed,MAA,DEL,MAA-DEL,0.14,2026-08-28,7,T+7,SpiceJet,SG-2189,12:10,14:47,157,0,Economy,15000,1860.89,0,0.0,16860.89,INR,27,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000024,2026-08-21 08:48:00,synthetic_prototype,Prototype_OTA_Feed_B,BLR,HYD,BLR-HYD,0.12,2026-08-28,7,T+7,Air India Express,IX-7938,10:10,12:14,124,0,Economy,15000,1984.19,100,99.0,17183.19,INR,25,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000025,2026-07-12 14:16:00,synthetic_prototype,Prototype_OTA_Feed_A,BLR,HYD,BLR-HYD,0.12,2026-07-13,1,T+1,SpiceJet,SG-9048,19:15,21:11,116,0,Economy,15000,2604.07,0,199.0,17803.07,INR,66,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000026,2026-09-03 04:41:00,synthetic_prototype,Prototype_Airline_Feed,DEL,BOM,DEL-BOM,0.24,2026-09-04,1,T+1,Air India Express,IX-2805,14:15,15:29,74,0,Economy,15000,2891.71,0,149.0,18040.71,INR,39,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000027,2026-07-14 00:36:00,synthetic_prototype,Prototype_OTA_Feed_B,DEL,BLR,DEL-BLR,0.19,2026-08-13,30,T+30,SpiceJet,SG-793,08:55,11:14,139,0,Economy,15000,2882.99,0,0.0,17882.99,INR,0,Sold Out,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000028,2026-07-17 16:25:00,synthetic_prototype,Prototype_Airline_Feed,DEL,BOM,DEL-BOM,0.24,2026-08-01,15,T+15,Air India Express,IX-9308,11:35,14:19,164,1,Economy,15000,1807.17,0,149.0,16956.17,INR,40,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000029,2026-07-07 18:05:00,synthetic_prototype,Prototype_OTA_Feed_A,BLR,HYD,BLR-HYD,0.12,2026-07-14,7,T+7,Akasa Air,QP-9260,06:15,08:42,147,0,Economy,15000,2580.09,150,149.0,17879.09,INR,49,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000030,2026-06-22 10:00:00,synthetic_prototype,Prototype_Airline_Feed,DEL,CCU,DEL-CCU,0.14,2026-06-29,7,T+7,Air India Express,IX-2548,10:30,13:18,168,0,Economy,15000,1940.18,0,0.0,16940.18,INR,42,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000031,2026-06-17 02:28:00,synthetic_prototype,Prototype_OTA_Feed_B,DEL,BLR,DEL-BLR,0.19,2026-06-18,1,T+1,Akasa Air,QP-4007,17:55,21:07,192,1,Economy,15000,2462.67,0,199.0,17661.67,INR,37,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000032,2026-06-17 10:14:00,synthetic_prototype,Prototype_Airline_Feed,BOM,BLR,BOM-BLR,0.17,2026-06-24,7,T+7,Air India,AI-5421,13:20,16:03,163,0,Economy,15000,2465.56,150,0.0,17615.56,INR,44,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000033,2026-08-28 15:24:00,synthetic_prototype,Prototype_OTA_Feed_B,BOM,BLR,BOM-BLR,0.17,2026-09-27,30,T+30,Akasa Air,QP-1879,16:20,19:20,180,0,Economy,15000,2442.73,0,149.0,17591.73,INR,75,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000034,2026-08-19 02:15:00,synthetic_prototype,Prototype_OTA_Feed_A,BLR,HYD,BLR-HYD,0.12,2026-08-26,7,T+7,Air India Express,IX-4266,19:00,21:25,145,0,Economy,15000,2729.9,0,99.0,17828.9,INR,71,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000035,2026-07-29 12:48:00,synthetic_prototype,Prototype_OTA_Feed_A,BOM,BLR,BOM-BLR,0.17,2026-08-13,15,T+15,Air India Express,IX-8921,09:40,11:59,139,0,Economy,15000,2553.17,0,149.0,17702.17,INR,18,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000036,2026-06-21 18:29:00,synthetic_prototype,Prototype_OTA_Feed_B,MAA,DEL,MAA-DEL,0.14,2026-06-28,7,T+7,Air India Express,IX-124,06:10,09:03,173,0,Economy,15000,2454.4,0,99.0,17553.4,INR,52,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000037,2026-08-09 01:41:00,synthetic_prototype,Prototype_Airline_Feed,DEL,BOM,DEL-BOM,0.24,2026-08-10,1,T+1,Air India,AI-6032,08:00,09:37,97,0,Economy,15000,2521.96,0,149.0,17670.96,INR,54,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000038,2026-07-17 08:01:00,synthetic_prototype,Prototype_OTA_Feed_A,DEL,BOM,DEL-BOM,0.24,2026-08-16,30,T+30,Air India Express,IX-7018,06:25,08:13,108,0,Economy,15000,2379.35,0,99.0,17478.35,INR,0,Sold Out,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000039,2026-08-14 20:46:00,synthetic_prototype,Prototype_OTA_Feed_A,DEL,BLR,DEL-BLR,0.19,2026-09-13,30,T+30,Air India,AI-2417,15:05,17:37,152,0,Economy,15000,2307.81,200,149.0,17656.81,INR,21,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000040,2026-06-16 15:47:00,synthetic_prototype,Prototype_Airline_Feed,DEL,BLR,DEL-BLR,0.19,2026-06-23,7,T+7,Air India Express,IX-9424,05:05,07:34,149,0,Economy,15000,1928.39,0,149.0,17077.39,INR,27,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000041,2026-06-22 10:25:00,synthetic_prototype,Prototype_OTA_Feed_B,DEL,CCU,DEL-CCU,0.14,2026-07-07,15,T+15,IndiGo,6E-8893,08:25,11:18,173,0,Economy,15000,2504.45,200,99.0,17803.45,INR,81,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000042,2026-07-12 03:56:00,synthetic_prototype,Prototype_Airline_Feed,DEL,BLR,DEL-BLR,0.19,2026-08-11,30,T+30,SpiceJet,SG-4948,15:55,18:31,156,0,Economy,15000,2442.54,0,0.0,34276.41,INR,25,Available,True,False,False,True,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000043,2026-07-09 08:46:00,synthetic_prototype,Prototype_Airline_Feed,BLR,HYD,BLR-HYD,0.12,2026-08-08,30,T+30,Akasa Air,QP-1859,06:20,08:12,112,0,Economy Flex,15000,1803.71,0,99.0,16902.71,INR,88,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000044,2026-07-27 21:59:00,synthetic_prototype,Prototype_Airline_Feed,DEL,BLR,DEL-BLR,0.19,2026-08-11,15,T+15,SpiceJet,SG-5901,16:10,19:26,196,0,Economy,15000,2532.45,0,99.0,17631.45,INR,0,Sold Out,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000045,2026-06-29 09:16:00,synthetic_prototype,Prototype_OTA_Feed_A,MAA,DEL,MAA-DEL,0.14,2026-07-29,30,T+30,Air India Express,IX-5291,13:40,15:59,139,0,Economy,15000,1919.64,150,0.0,17069.64,INR,70,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000046,2026-06-14 06:12:00,synthetic_prototype,Prototype_OTA_Feed_A,BOM,BLR,BOM-BLR,0.17,2026-06-21,7,T+7,Air India Express,IX-1811,17:40,20:44,184,0,Economy,15000,2929.09,100,149.0,18178.09,INR,56,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000047,2026-06-19 14:23:00,synthetic_prototype,Prototype_Airline_Feed,BLR,HYD,BLR-HYD,0.12,2026-06-26,7,T+7,Air India,AI-2948,17:35,19:28,113,0,Economy,15000,2910.67,0,149.0,18059.67,INR,16,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000048,2026-06-22 06:50:00,synthetic_prototype,Prototype_Airline_Feed,DEL,BOM,DEL-BOM,0.24,2026-07-07,15,T+15,Air India Express,IX-5490,06:30,08:20,110,0,Economy,15000,2010.25,0,0.0,17010.25,INR,39,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000049,2026-07-07 13:46:00,synthetic_prototype,Prototype_OTA_Feed_A,DEL,BLR,DEL-BLR,0.19,2026-08-06,30,T+30,Akasa Air,QP-6428,13:15,16:00,165,1,Economy,15000,2418.82,0,0.0,17418.82,INR,76,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000050,2026-08-16 09:41:00,synthetic_prototype,Prototype_OTA_Feed_B,BOM,BLR,BOM-BLR,0.17,2026-08-31,15,T+15,Akasa Air,QP-7586,07:20,09:21,121,1,Economy,15000,2836.38,150,0.0,17986.38,INR,92,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000051,2026-07-17 22:58:00,synthetic_prototype,Prototype_OTA_Feed_B,BOM,BLR,BOM-BLR,0.17,2026-08-16,30,T+30,Air India,AI-4381,13:35,16:10,155,0,Economy Flex,15000,2445.46,0,99.0,17544.46,INR,66,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000052,2026-07-09 22:50:00,synthetic_prototype,Prototype_Airline_Feed,DEL,BOM,DEL-BOM,0.24,2026-07-10,1,T+1,IndiGo,6E-1966,09:10,11:19,129,0,Economy,15000,2882.8,0,199.0,18081.8,INR,57,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000053,2026-09-11 14:26:00,synthetic_prototype,Prototype_OTA_Feed_B,DEL,BLR,DEL-BLR,0.19,2026-09-26,15,T+15,SpiceJet,SG-8049,08:15,11:12,177,0,Economy,15000,2888.29,0,199.0,18087.29,INR,33,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000054,2026-07-18 00:41:00,synthetic_prototype,Prototype_Airline_Feed,BLR,HYD,BLR-HYD,0.12,2026-08-17,30,T+30,Air India Express,IX-7797,14:20,16:55,155,0,Economy,15000,2754.78,0,99.0,17853.78,INR,51,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000055,2026-06-28 12:36:00,synthetic_prototype,Prototype_OTA_Feed_A,DEL,BOM,DEL-BOM,0.24,2026-07-13,15,T+15,Air India Express,IX-1970,12:40,15:05,145,1,Economy,15000,2299.37,0,0.0,17299.37,INR,35,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000056,2026-08-17 00:12:00,synthetic_prototype,Prototype_OTA_Feed_A,DEL,BLR,DEL-BLR,0.19,2026-10-01,45,T+45,IndiGo,6E-5755,14:50,18:07,197,1,Economy,15000,2616.68,200,99.0,17915.68,INR,35,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000057,2026-07-05 00:26:00,synthetic_prototype,Prototype_Airline_Feed,DEL,BLR,DEL-BLR,0.19,2026-07-20,15,T+15,Akasa Air,QP-3761,09:20,12:24,184,0,Economy Flex,15000,2404.53,0,0.0,17404.53,INR,54,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000058,2026-06-23 00:04:00,synthetic_prototype,Prototype_OTA_Feed_A,DEL,BOM,DEL-BOM,0.24,2026-07-08,15,T+15,Air India,AI-6275,20:25,22:32,127,0,Economy,15000,2782.72,0,0.0,17782.72,INR,61,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000059,2026-06-29 10:22:00,synthetic_prototype,Prototype_Airline_Feed,DEL,BOM,DEL-BOM,0.24,2026-07-29,30,T+30,Air India Express,IX-1543,13:15,15:34,139,0,Economy,15000,2964.77,150,0.0,18114.77,INR,13,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000060,2026-09-11 20:40:00,synthetic_prototype,Prototype_OTA_Feed_A,BOM,BLR,BOM-BLR,0.17,2026-09-12,1,T+1,Air India,AI-1052,19:45,22:56,191,0,Economy,15000,2388.69,0,149.0,17537.69,INR,51,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000061,2026-07-06 12:58:00,synthetic_prototype,Prototype_OTA_Feed_A,DEL,BOM,DEL-BOM,0.24,2026-07-21,15,T+15,Air India Express,IX-514,14:20,15:37,77,0,Economy,15000,2857.21,0,0.0,17857.21,INR,0,Sold Out,False,False,False,True,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000062,2026-07-27 16:02:00,synthetic_prototype,Prototype_Airline_Feed,BOM,BLR,BOM-BLR,0.17,2026-08-11,15,T+15,Air India Express,IX-8649,19:15,21:59,164,0,Economy,15000,2044.25,0,149.0,17193.25,INR,60,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000063,2026-08-18 05:25:00,synthetic_prototype,Prototype_OTA_Feed_B,DEL,CCU,DEL-CCU,0.14,2026-08-25,7,T+7,IndiGo,6E-7967,06:15,08:39,144,0,Economy Flex,15000,2083.03,0,199.0,17282.03,INR,70,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000064,2026-09-09 16:42:00,synthetic_prototype,Prototype_OTA_Feed_A,DEL,BOM,DEL-BOM,0.24,2026-09-16,7,T+7,IndiGo,6E-8679,14:25,16:44,139,0,Economy,15000,2893.96,150,199.0,18242.96,INR,31,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000065,2026-06-22 03:05:00,synthetic_prototype,Prototype_OTA_Feed_B,MAA,DEL,MAA-DEL,0.14,2026-06-23,1,T+1,Air India Express,IX-8965,16:45,19:47,182,1,Economy,15000,2130.53,0,0.0,17130.53,INR,24,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000066,2026-08-21 15:10:00,synthetic_prototype,Prototype_Airline_Feed,DEL,BOM,DEL-BOM,0.24,2026-10-05,45,T+45,Air India Express,IX-6182,10:50,12:40,110,0,Economy,15000,2284.76,0,199.0,17483.76,INR,0,Sold Out,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000067,2026-07-01 02:29:00,synthetic_prototype,Prototype_OTA_Feed_B,BLR,HYD,BLR-HYD,0.12,2026-07-16,15,T+15,Air India Express,IX-1599,09:30,11:38,128,0,Economy,15000,2718.65,100,149.0,17967.65,INR,24,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000068,2026-09-09 21:35:00,synthetic_prototype,Prototype_OTA_Feed_B,BOM,BLR,BOM-BLR,0.17,2026-09-10,1,T+1,Air India,AI-7335,18:45,21:39,174,0,Economy,15000,2252.61,0,99.0,17351.61,INR,76,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000069,2026-07-21 02:14:00,synthetic_prototype,Prototype_OTA_Feed_B,DEL,BOM,DEL-BOM,0.24,2026-08-05,15,T+15,IndiGo,6E-3914,05:30,07:22,112,0,Economy,15000,2702.21,0,149.0,17851.21,INR,23,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000070,2026-09-04 10:41:00,synthetic_prototype,Prototype_Airline_Feed,BOM,BLR,BOM-BLR,0.17,2026-10-04,30,T+30,Air India Express,IX-1369,19:00,22:09,189,0,Economy,15000,2195.74,0,99.0,17294.74,INR,9,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000071,2026-09-01 03:28:00,synthetic_prototype,Prototype_OTA_Feed_B,DEL,BLR,DEL-BLR,0.19,2026-09-16,15,T+15,SpiceJet,SG-5262,10:55,12:45,110,1,Economy,15000,2190.03,0,99.0,17289.03,INR,49,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000072,2026-09-05 02:51:00,synthetic_prototype,Prototype_OTA_Feed_A,MAA,DEL,MAA-DEL,0.14,2026-10-05,30,T+30,Air India Express,IX-9386,08:25,11:35,190,0,Economy,15000,1928.03,0,0.0,16928.03,INR,65,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000073,2026-08-31 04:33:00,synthetic_prototype,Prototype_OTA_Feed_B,DEL,BLR,DEL-BLR,0.19,2026-09-07,7,T+7,IndiGo,6E-557,15:50,18:53,183,0,Economy,15000,1800.76,0,199.0,16999.76,INR,6,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000074,2026-08-24 04:16:00,synthetic_prototype,Prototype_Airline_Feed,MAA,DEL,MAA-DEL,0.14,2026-09-23,30,T+30,IndiGo,6E-2759,15:00,17:12,132,1,Economy,15000,2132.36,0,149.0,17281.36,INR,54,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000075,2026-06-22 18:41:00,synthetic_prototype,Prototype_OTA_Feed_A,BOM,BLR,BOM-BLR,0.17,2026-08-06,45,T+45,SpiceJet,SG-8999,18:50,20:52,122,0,Economy,15000,2742.66,0,99.0,17841.66,INR,34,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000076,2026-07-21 12:27:00,synthetic_prototype,Prototype_Airline_Feed,BOM,BLR,BOM-BLR,0.17,2026-08-05,15,T+15,Akasa Air,QP-1779,17:35,20:02,147,0,Economy,15000,2925.55,0,,,INR,76,Available,False,False,True,True,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000077,2026-06-25 02:10:00,synthetic_prototype,Prototype_OTA_Feed_B,DEL,BOM,DEL-BOM,0.24,2026-06-26,1,T+1,SpiceJet,SG-1128,20:30,23:22,172,0,Economy,15000,2560.75,0,99.0,17659.75,INR,28,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000078,2026-07-29 09:50:00,synthetic_prototype,Prototype_OTA_Feed_A,BLR,HYD,BLR-HYD,0.12,2026-08-05,7,T+7,SpiceJet,SG-4526,16:50,18:58,128,0,Economy,15000,1874.0,0,99.0,16973.0,INR,54,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000079,2026-07-20 01:03:00,synthetic_prototype,Prototype_OTA_Feed_B,BLR,HYD,BLR-HYD,0.12,2026-07-21,1,T+1,Akasa Air,QP-415,06:55,08:41,106,0,Economy,15000,2321.22,0,99.0,17420.22,INR,18,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000080,2026-09-10 03:39:00,synthetic_prototype,Prototype_OTA_Feed_B,DEL,BLR,DEL-BLR,0.19,2026-09-17,7,T+7,SpiceJet,SG-6369,05:05,07:40,155,0,Economy,15000,2965.75,0,149.0,18114.75,INR,51,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
